id,1/2022,2/2022,3/2022
256,0.0,1.0,0.0
257,0.0,0.0,0.0
258,0.0,1.0,0.0
260,0.0,1.0,0.0
261,0.0,1.0,0.0
262,0.0,1.0,0.0
263,0.0,1.0,0.0
264,0.0,1.0,0.0
265,0.0,1.0,0.0
266,0.0,1.0,0.0
267,0.0,1.0,0.0
268,0.0,1.0,0.0
269,0.0,1.0,0.0
270,0.0,0.0,0.0
272,0.0,1.0,0.0
273,0.0,1.0,0.0
274,0.0,1.0,0.0
276,0.0,1.0,0.0
277,0.0,1.0,0.0
278,0.0,1.0,0.0
279,0.0,1.0,0.0
280,0.0,1.0,0.0
281,0.0,1.0,0.0
282,0.0,1.0,0.0
283,0.0,0.0,0.0
284,0.0,1.0,0.0
285,0.0,1.0,0.0
286,0.0,1.0,0.0
287,0.0,1.0,0.0
288,0.0,1.0,0.0
289,0.0,1.0,0.0
290,0.0,1.0,0.0
291,0.0,1.0,0.0
333,0.0,0.0,1.0
334,0.0,0.0,1.0
335,0.0,0.0,1.0
336,0.0,0.0,1.0
337,0.0,0.0,1.0
338,0.0,0.0,1.0
339,0.0,0.0,1.0
340,0.0,0.0,1.0
341,0.0,0.0,1.0
342,0.0,0.0,1.0
343,0.0,0.0,1.0
344,0.0,0.0,1.0
345,0.0,0.0,1.0
346,0.0,0.0,1.0
347,0.0,0.0,1.0
348,0.0,0.0,1.0
349,0.0,0.0,1.0
350,0.0,0.0,1.0
351,0.0,0.0,1.0
352,0.0,0.0,1.0
353,0.0,0.0,1.0
354,0.0,0.0,1.0
355,0.0,0.0,1.0
356,0.0,0.0,1.0
357,0.0,0.0,1.0
358,0.0,0.0,1.0
359,0.0,0.0,1.0
360,0.0,0.0,1.0
361,0.0,0.0,1.0
362,0.0,0.0,1.0
363,0.0,0.0,1.0
364,0.0,0.0,1.0
365,0.0,0.0,1.0
366,0.0,0.0,1.0
367,0.0,0.0,1.0
368,0.0,0.0,1.0
369,0.0,0.0,1.0
370,0.0,0.0,1.0
371,0.0,0.0,1.0
372,0.0,0.0,1.0
373,0.0,0.0,1.0
374,0.0,0.0,1.0
375,0.0,0.0,1.0
381,0.0,0.0,1.0
382,0.0,0.0,1.0
383,0.0,0.0,1.0
384,0.0,0.0,1.0
385,0.0,0.0,1.0
386,0.0,0.0,1.0
387,0.0,0.0,1.0
388,0.0,0.0,1.0
389,0.0,0.0,1.0
390,0.0,0.0,1.0
391,0.0,0.0,1.0
392,0.0,0.0,1.0
393,0.0,0.0,1.0
394,0.0,0.0,1.0
395,0.0,0.0,1.0
396,0.0,0.0,1.0
397,0.0,0.0,1.0
398,0.0,0.0,1.0
399,0.0,0.0,1.0
400,0.0,0.0,1.0
401,0.0,0.0,1.0
402,0.0,0.0,1.0
403,0.0,0.0,1.0
404,0.0,0.0,1.0
405,0.0,0.0,1.0
406,0.0,0.0,1.0
407,0.0,0.0,1.0
408,0.0,0.0,1.0
409,0.0,0.0,1.0
410,0.0,0.0,1.0
411,0.0,0.0,1.0
412,0.0,0.0,1.0
413,0.0,0.0,1.0
414,0.0,0.0,1.0
415,0.0,0.0,1.0
416,0.0,0.0,1.0
418,0.0,0.0,1.0
419,0.0,0.0,1.0
420,0.0,0.0,1.0
421,0.0,0.0,1.0
422,0.0,0.0,1.0
423,0.0,0.0,1.0
424,0.0,0.0,1.0
425,0.0,0.0,1.0
426,0.0,0.0,1.0
427,0.0,0.0,1.0
428,0.0,0.0,1.0
429,0.0,0.0,1.0
430,0.0,0.0,1.0
431,0.0,0.0,1.0
432,0.0,0.0,1.0
433,0.0,0.0,1.0
434,0.0,0.0,1.0
435,0.0,0.0,1.0
436,0.0,0.0,1.0
437,0.0,0.0,1.0
438,0.0,0.0,0.0
439,0.0,0.0,1.0
440,0.0,0.0,1.0
441,0.0,0.0,1.0
442,0.0,0.0,1.0
443,0.0,0.0,1.0
444,0.0,0.0,1.0
447,0.0,0.0,1.0
448,0.0,0.0,1.0
449,0.0,0.0,1.0
450,0.0,0.0,1.0
451,0.0,0.0,1.0
453,0.0,0.0,1.0
454,0.0,0.0,1.0
455,0.0,0.0,1.0
456,0.0,0.0,1.0
457,0.0,0.0,1.0
458,0.0,0.0,1.0
459,0.0,0.0,1.0
460,0.0,0.0,1.0
461,0.0,0.0,1.0
462,0.0,0.0,1.0
463,0.0,0.0,1.0
464,0.0,0.0,1.0
465,0.0,0.0,1.0
466,0.0,0.0,1.0
467,0.0,0.0,1.0
468,0.0,0.0,1.0
469,0.0,0.0,1.0
470,0.0,0.0,1.0
471,0.0,0.0,1.0
472,0.0,0.0,1.0
473,0.0,0.0,1.0
474,0.0,0.0,1.0
